dates,holidays
1/7/2023,1
1/14/2023,0
1/21/2023,0
1/28/2023,0
2/4/2023,0
2/11/2023,0
2/18/2023,0
2/25/2023,0
3/4/2023,0
3/11/2023,0
3/18/2023,0
3/25/2023,0
4/1/2023,1
4/8/2023,0
4/15/2023,1
4/22/2023,0
4/29/2023,0
5/6/2023,1
5/13/2023,1
5/20/2023,1
5/27/2023,0
6/3/2023,1
6/10/2023,0
6/17/2023,0
6/24/2023,0
7/1/2023,0
7/8/2023,0
7/15/2023,1
7/22/2023,0
7/29/2023,0
8/5/2023,0
8/12/2023,0
8/19/2023,1
8/26/2023,0
9/2/2023,0
9/9/2023,0
9/16/2023,0
9/23/2023,0
9/30/2023,0
10/7/2023,0
10/14/2023,0
10/21/2023,0
10/28/2023,0
11/4/2023,1
11/11/2023,1
11/18/2023,0
11/25/2023,0
12/2/2023,0
12/9/2023,0
12/16/2023,0
12/23/2023,0
12/30/2023,2
1/6/2024,1
1/13/2024,0
1/20/2024,0
1/27/2024,0
2/3/2024,0
2/10/2024,0
2/17/2024,0
2/24/2024,0
3/2/2024,0
3/9/2024,0
3/16/2024,0
3/23/2024,0
3/30/2024,1
4/6/2024,0
4/13/2024,0
4/20/2024,0
4/27/2024,1
5/4/2024,1
5/11/2024,1
5/18/2024,0
5/25/2024,1
6/1/2024,0
6/8/2024,0
6/15/2024,0
6/22/2024,0
6/29/2024,0
7/6/2024,0
7/13/2024,0
7/20/2024,1
7/27/2024,0
8/3/2024,0
8/10/2024,1
8/17/2024,1
8/24/2024,0
8/31/2024,0
9/7/2024,0
9/14/2024,0
9/21/2024,0
9/28/2024,0
10/5/2024,0
10/12/2024,0
10/19/2024,0
10/26/2024,0
11/2/2024,1
11/9/2024,0
11/16/2024,1
11/23/2024,0
11/30/2024,0
12/7/2024,0
12/14/2024,0
12/21/2024,0
12/28/2024,1
1/4/2025,1
1/11/2025,0
1/18/2025,0
1/25/2025,0
2/1/2025,1
2/8/2025,0
2/15/2025,0
2/22/2025,0
3/1/2025,1
3/8/2025,0
3/15/2025,0
3/22/2025,0
3/29/2025,0
4/5/2025,0
4/12/2025,0
4/19/2025,1
4/26/2025,1
5/3/2025,1
5/10/2025,1
5/17/2025,0
5/24/2025,0
5/31/2025,1
6/7/2025,0
6/14/2025,1
6/21/2025,0
6/28/2025,0
7/5/2025,0
7/12/2025,0
7/19/2025,1
7/26/2025,0
8/2/2025,0
8/9/2025,0
8/16/2025,0
8/23/2025,0
8/30/2025,0
