dates,loc_id,prd_id,actuals_qty,prd_price,currency_id
1/7/2023,10001,VSHJX3,60,2,1
1/7/2023,10002,VSHJX3,96,2,1
1/7/2023,10003,VSHJX3,110,2,1
1/7/2023,10004,VSHJX3,104,2,1
1/7/2023,10005,VSHJX3,16,2,1
1/7/2023,10006,VSHJX3,12,2,1
1/7/2023,10007,VSHJX3,8,2,1
1/7/2023,10008,VSHJX3,72,2,1
1/7/2023,10009,VSHJX3,180,2,1
1/7/2023,10010,VSHJX3,36,2,1
1/7/2023,10011,VSHJX3,270,2,1
1/7/2023,10001,VSHJX4,126,"2,9",1
1/7/2023,10002,VSHJX4,378,"2,9",1
1/7/2023,10003,VSHJX4,36,"2,9",1
1/7/2023,10004,VSHJX4,378,"2,9",1
1/7/2023,10005,VSHJX4,162,"2,9",1
1/7/2023,10006,VSHJX4,360,"2,9",1
1/7/2023,10007,VSHJX4,198,"2,9",1
1/7/2023,10008,VSHJX4,126,"2,9",1
1/7/2023,10009,VSHJX4,270,"2,9",1
1/7/2023,10010,VSHJX4,360,"2,9",1
1/7/2023,10011,VSHJX4,72,"2,9",1
1/7/2023,10001,BNFJY5,864,"2,5",1
1/7/2023,10002,BNFJY5,54,"2,5",1
1/7/2023,10003,BNFJY5,1008,"2,5",1
1/7/2023,10004,BNFJY5,180,"2,5",1
1/7/2023,10005,BNFJY5,900,"2,5",1
1/7/2023,10006,BNFJY5,288,"2,5",1
1/7/2023,10007,BNFJY5,936,"2,5",1
1/7/2023,10008,BNFJY5,72,"2,5",1
1/7/2023,10009,BNFJY5,180,"2,5",1
1/7/2023,10010,BNFJY5,36,"2,5",1
1/7/2023,10011,BNFJY5,54,"2,5",1
1/7/2023,10001,ERKYE7,270,"2,9",1
1/7/2023,10002,ERKYE7,360,"2,9",1
1/7/2023,10003,ERKYE7,36,"2,9",1
1/7/2023,10004,ERKYE7,72,"2,9",1
1/7/2023,10005,ERKYE7,756,"2,9",1
1/7/2023,10006,ERKYE7,144,"2,9",1
1/7/2023,10007,ERKYE7,864,"2,9",1
1/7/2023,10008,ERKYE7,36,"2,9",1
1/7/2023,10009,ERKYE7,144,"2,9",1
1/7/2023,10010,ERKYE7,1404,"2,9",1
1/7/2023,10011,ERKYE7,36,"2,9",1
1/7/2023,10001,LKUQW1,180,10,1
1/7/2023,10002,LKUQW1,18,10,1
1/7/2023,10003,LKUQW1,954,10,1
1/7/2023,10004,LKUQW1,252,10,1
1/7/2023,10005,LKUQW1,1260,10,1
1/7/2023,10006,LKUQW1,72,10,1
1/7/2023,10007,LKUQW1,846,10,1
1/7/2023,10008,LKUQW1,198,10,1
1/7/2023,10009,LKUQW1,1368,10,1
